objectid,duplicate objectid,images,parentid,title,scope note,creator,date,description,paratext_type,tag,source,publisher,gcd_id,gcd_link,type,format,language,image_source,image_source_link,rights,rightsstatement,display_template,object_location,image_small,image_thumb,note,prefix
cbp_0021,FALSE,TRUE,,Solicitation: Adventure Comics #485 (September 1981). DC Comics. ,,,1981-09,"Solicitation to readers for “suggestions for heroes, heroines, villains, furniture, fashions &amp; story ideas” for Dial H for Hero.",solicitation,reader-contributed content,Adventure Comics #485 (September 1981). DC Comics.,DC,35665,<a href='https://www.comics.org/issue/35665/'>35665</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0021.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0021_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0021_th.jpg,,
cbp_0022,FALSE,TRUE,,Advertisement: It Aint Me Babe Comix (July 1970). Last Gasp. ,,"Robbins, Trina;Kurtzman, Meredith;Mendes, Barbara;Robinson, Michelle;Lyons, Lisa;Burton, Nancy;Kalish, Carole",1970-07,"Advertisement for catalog of “underground comix, ecology fact file series, and children’s liberation coloring book.”",advertisement,,It Aint Me Babe Comix (July 1970). Last Gasp.,Last Gasp,277024,<a href='https://www.comics.org/issue/277024/'>277024</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0022.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0022_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0022_th.jpg,Carole Kalish identified as just Carole in comic. Got surname from wikipedia.,
cbp_0023,FALSE,TRUE,,Intertitle: Miss America #64 (June 1954). Marvel Comics. ,,"Weiss, Morris",1954-06,Intertitle “Patsy Walker” for Patsy Walker story within Miss America comic book.,intertitle,,Miss America #64 (June 1954). Marvel Comics.,Marvel,210148,<a href='https://www.comics.org/issue/210148/'>210148</a>,Image;StillImage,image/jpeg,eng,private collection,,,,compound_object,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0025.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0025_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0025_th.jpg,,
cbp_0024,FALSE,TRUE,cbp_0023,Intertitle: Miss America #64 (June 1954). Marvel Comics. Full page.,Full page,"Weiss, Morris",1954-06,Intertitle “Patsy Walker” for Patsy Walker story within Miss America comic book.,intertitle,,Miss America #64 (June 1954). Marvel Comics.,Marvel,210148,<a href='https://www.comics.org/issue/210148/'>210148</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0024.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0024_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0024_th.jpg,,
cbp_0025,FALSE,TRUE,cbp_0023,Intertitle: Miss America #64 (June 1954). Marvel Comics. Detail.,Detail,"Weiss, Morris",1954-06,Intertitle “Patsy Walker” for Patsy Walker story within Miss America comic book.,intertitle,,Miss America #64 (June 1954). Marvel Comics.,Marvel,210148,<a href='https://www.comics.org/issue/210148/'>210148</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0025.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0025_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0025_th.jpg,,
cbp_0026,FALSE,TRUE,,Advertisement: Miss America #64 (June 1954). Marvel Comics. ,,,1954-06,"Advertisement recruiting children to sell “Cloverine brand salve,” from the Wilson Chemical Co., for “cash! or premiums!”",advertisement,comics,Miss America #64 (June 1954). Marvel Comics.,Marvel,210148,<a href='https://www.comics.org/issue/210148/'>210148</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0026.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0026_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0026_th.jpg,,
cbp_0027,FALSE,TRUE,,Note: Adventure Comics #485 (September 1981). DC Comics. ,,,1981-09,Note crediting creator of reader-submitted character.,note,reader-contributed content,Adventure Comics #485 (September 1981). DC Comics.,DC,35665,<a href='https://www.comics.org/issue/35665/'>35665</a>,Image;StillImage,image/jpeg,eng,private collection,,,,compound_object,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0030.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0030_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0030_th.jpg,,
cbp_0028,FALSE,TRUE,cbp_0027,Note: Adventure Comics #485 (September 1981). DC Comics. Full page.,Full page,,1981-09,Note crediting creator of reader-submitted character.,note,,Adventure Comics #485 (September 1981). DC Comics.,DC,35665,<a href='https://www.comics.org/issue/35665/'>35665</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0028.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0028_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0028_th.jpg,,
cbp_0029,FALSE,TRUE,cbp_0027,Note: Adventure Comics #485 (September 1981). DC Comics. Detail.,Detail,,1981-09,Note crediting creator of reader-submitted character.,note,,Adventure Comics #485 (September 1981). DC Comics.,DC,35665,<a href='https://www.comics.org/issue/35665/'>35665</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0029.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0029_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0029_th.jpg,,
cbp_0030,FALSE,TRUE,cbp_0027,Note: Adventure Comics #485 (September 1981). DC Comics. Detail.,Detail,,1981-09,Note crediting creator of reader-submitted character.,note,,Adventure Comics #485 (September 1981). DC Comics.,DC,35665,<a href='https://www.comics.org/issue/35665/'>35665</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0030.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0030_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0030_th.jpg,,
